,Positive,Neutral,Negative
0,13,Live free and die: Sweden’s coronavirus experience | Sam Bowman and Pedro Serodio | The Critic Magazine ,19
1,"RT @MinHealth_Arm: As of June 13, 11:00 AM, 16004 cases of coronavirus have been confirmed in #Armenia with 6081 recoveries and 264 deaths.…",How Germany contained the coronavirus | World Economic Forum ,Outbreak of pneumonia in #China amid new coronavirus https://med.news.am/eng/news/24798/outbreak-of-pneumonia-in-china-amid-new-coronavirus.html#.XhcVfLptLlA.twitter …
2,Very good conversation w/ @FP_Champagne. Deep respect &amp; friendship btw 🇦🇲🇨🇦 ppls and leaders are strong foundation… https://t.co/QY6mPxKLkB,Check out my latest article: Coronavirus and Health. https://www.linkedin.com/pulse/coronavirus-health-hayk-arakelyan … via @LinkedIn,China says pneumonia outbreak linked to new coronavirus https://www.ft.com/content/7ac8b004-3285-11ea-9703-eea0cae3f0de …
3,RT @ZMnatsakanyan: Very good conversation w/ @FP_Champagne. Deep respect &amp; friendship btw 🇦🇲🇨🇦 ppls and leaders are strong foundation to en…,"Apple could see some impact from coronavirus in China, Cook says https://www.cnet.com/news/apple-could-see-some-impact-from-coronavirus-in-china-cook-says/#ftag=CAD-01-10aai3d …","New Chinese virus 'will have infected hundreds'
https://www.bbc.com/news/health-51148303 …

Wait until upper layers of permafrost melt & free bacteria that cause diseases far scarier than this #coronavirus. One of the reasons we need #ClimateActionNow"
4,"RT @mediaec: Very interesting exchange of views during the @_eurodig WS10 on #COVID19 impact on #education in Europe, impressive contributi…","723 new cases of #coronavirus confirmed in #Armenia in past 24 hours
https://t.co/DM4yVuOzmt","Mysterious outbreak of pneumonia in China has been linked to a new coronavirus. The likely source of the outbreak was the local Huanan seafood market, which sells live animals."
5,,#Georgia confirms 8 #COVID19 new cases https://t.co/yWq1Ugeeuw,"#covid19 #nepal #world @WHO
The virus is making more worst day to day..
By the data analysis more people are cure t… https://t.co/WYYetrHQYH"
6,,RT @cnbcafrica: WATCH: How #Rwanda’s taxi-motos industry is navigating #COVID19 headwinds https://t.co/FeiFtEFxfW,
7,,RT @TMorais: Honored to be part of it and a pleasure to interact with you all. https://t.co/NPDNQzv2r4,
8,,"😂 

Who believes that's him?

#WHO
#COVID19 
#coronavirus 

#TrumpBirthdayGifts https://t.co/JYlL9T0PTy",
9,,Sound That Brands And Benztown Launch Daily Coronavirus 411 Feature - https://radioinsight.com/headlines/184908/sound-that-brands-and-benztown-launch-daily-coronavirus-411-feature/ …pic.twitter.com/KlLxBZsmWp,
